SO2 (µg/m3);NO (µg/m3);NO2 (µg/m3);CO (mg/m3);O3 (µg/m3);PM10 (µg/m3);NOx (µg/m3)
3.7;2.5;3.6;0.2;88.2;7;7.5
3;2.1;5;0.3;85;9;8.2
3;2;4;0.3;85;16.5;7.2
3;1.2;5.2;0.3;82;29.8;7.2
4;2.4;29.9;0.2;49;16;33.5
3.2;1.5;16;0.1;62.8;33.8;18.2
4.5;2.4;21.6;0.1;56.2;15.2;25.2
2.9;1;3.1;0.1;76.2;20.8;4.5
2.2;0.8;3.1;0.1;73;19;4.5
2.7;1.5;3.6;0.1;69.8;18;6
1.6;1.7;7;0.1;62.5;17;9.8
2.3;1.5;3;0.1;66;25.8;5.2
3;1;0.5;0.1;67.2;27;2
2.9;1.2;0.1;0.1;69;23.2;2
2.2;0.9;0.1;0.1;68.2;20.2;1.8
2.1;1;0.1;0.1;67.5;20;1.5
2.7;1.4;0.2;0.1;66.2;24;2.2
2;1.3;0.2;0.1;65;20;2.2
2.2;1.5;0.4;0.1;65.5;19;2.8
1.8;2.3;1.1;0.1;66.8;16;4.8
2.4;3.1;3.4;0.1;65.2;17;8.5
2.2;2.7;3.2;0.1;70.5;19;7.2
2;1.5;0.2;0.1;81.2;14.5;2.8
2.7;1.8;0.2;0.1;82.8;30.8;3
4.4;1.8;2.2;0.2;82;17.2;4.8
3.1;1.8;3.4;0.2;81.2;16;6.2
3.4;2;5.8;0.3;74.2;15;9.2
2.7;1.6;3.4;0.2;74;16;6
2.8;1.2;0.2;0.1;73.8;25.5;2
2.8;1.7;9.3;0.1;61.5;25;11.8
2.9;1.2;0.3;0.1;72.2;21.2;2.2
2;1.2;4.7;0.1;65.5;23;6.2
2.9;1.4;7.6;0.1;62;18.8;9.8
2.8;1.8;14.2;0.1;54;20;16.8
1.9;1.9;11.8;0.1;58.2;10.2;14.8
2.4;2;10.4;0.1;61;10;13.5
2.4;1.2;0.7;0.1;67.8;8.2;2.8
2.1;1.4;3;0.1;62.5;8.5;5
2;1;2;0.1;62.2;11;3.2
2.8;1;0.8;0.1;60.8;10.8;2.2
2.2;1.7;0.4;0.1;64;10;3
1.4;1.4;0.1;0.1;71;11.8;2.5
1.3;1.1;0.1;0.1;70.8;11;1.5
3.4;2.2;1.8;0.1;65.8;10.5;5.2
1.6;1.6;0.6;0.1;74;12.5;3.2
1.8;1.6;0.3;0.1;76.5;10;2.8
1.8;2;0.6;0.3;77.2;7;3.5
3.1;1.7;0.7;0.3;78.8;16.8;3.5
2.1;1.5;0.6;0.3;79.2;19;2.8
2.2;1.6;0.8;0.3;78.2;20;3.2
2.4;1.5;3.1;0.4;72.5;22;5.2
1.8;0.8;4;0.4;65;14.8;5.2
2.7;0.9;5.7;0.4;57.5;13;7.2
2.4;1.3;9.2;0.3;53;21.8;11.5
1.6;1.6;10.6;0.2;55.2;21;13
1.8;1.6;14.6;0.2;49.5;17;16.8
1.4;1.4;5.6;0.2;56.8;19;8
1.3;1.3;2.4;0.2;58.8;9.2;4.2
1.2;1.4;2.4;0.2;59.2;11.5;4.5
0.9;1.4;3.8;0.2;57.8;17.8;6
1.4;1.3;5.4;0.2;54.2;15;7.5
1;1;4.1;0.2;56.8;20;5.5
1.6;1.1;5.4;0.2;52;23;7
1.5;1.1;10.1;0.1;43.8;10.2;12
1.9;1.6;11.6;0.1;40.2;19.5;14
1.4;1.5;12.3;0.1;45;18;14.8
1.1;6.2;19.4;0.1;36;16;29
1.9;5.7;13.3;0.1;51;24;22.2
